iter	Passed	Remaining
0	16	3320
1	29	2878
2	37	2487
3	49	2429
4	61	2405
5	72	2357
6	83	2288
7	92	2212
8	101	2146
9	111	2126
10	121	2081
11	129	2027
12	138	1992
13	149	1983
14	159	1968
15	167	1926
16	177	1909
17	185	1874
18	193	1845
19	203	1834
20	218	1864
21	232	1881
22	245	1890
23	258	1893
24	269	1888
25	284	1901
26	297	1904
27	309	1902
28	323	1905
29	334	1894
30	345	1885
31	359	1886
32	371	1879
33	381	1860
34	391	1844
35	401	1830
36	412	1815
37	425	1814
38	437	1804
39	448	1793
40	460	1784
41	471	1774
42	484	1768
43	495	1756
44	509	1755
45	522	1749
46	536	1746
47	548	1736
48	569	1755
49	584	1754
50	595	1740
51	610	1737
52	625	1733
53	639	1728
54	654	1725
55	670	1725
56	683	1715
57	697	1708
58	714	1706
59	727	1697
60	739	1685
61	751	1672
62	761	1656
63	772	1641
64	781	1622
65	791	1606
66	802	1593
67	814	1580
68	824	1564
69	836	1553
70	852	1548
71	869	1546
72	882	1534
73	894	1522
74	905	1509
75	918	1498
76	932	1489
77	944	1477
78	956	1464
79	968	1452
80	979	1438
81	990	1425
82	1002	1413
83	1021	1410
84	1032	1396
85	1042	1382
86	1051	1365
87	1060	1350
88	1070	1334
89	1081	1322
90	1093	1310
91	1103	1295
92	1114	1281
93	1127	1271
94	1140	1260
95	1153	1249
96	1164	1236
97	1177	1225
98	1192	1216
99	1206	1206
100	1219	1195
101	1232	1183
102	1245	1172
103	1259	1162
104	1270	1149
105	1280	1135
106	1293	1124
107	1305	1111
108	1317	1100
109	1330	1088
110	1342	1076
111	1354	1064
112	1363	1050
113	1373	1036
114	1385	1024
115	1395	1010
116	1407	998
117	1420	986
118	1431	974
119	1443	962
120	1457	951
121	1472	941
122	1488	931
123	1502	920
124	1512	907
125	1525	895
126	1539	884
127	1552	873
128	1563	860
129	1573	847
130	1583	834
131	1593	820
132	1604	808
133	1617	796
134	1628	784
135	1640	771
136	1651	759
137	1661	746
138	1671	733
139	1683	721
140	1693	708
141	1703	695
142	1716	684
143	1727	671
144	1739	659
145	1759	650
146	1773	639
147	1789	628
148	1810	619
149	1829	609
150	1847	599
151	1867	589
152	1892	581
153	1903	568
154	2016	585
155	2029	572
156	2041	559
157	2051	545
158	2062	531
159	2074	518
160	2084	504
161	2097	491
162	2109	478
163	2118	464
164	2129	451
165	2141	438
166	2150	425
167	2162	411
168	2177	399
169	2189	386
170	2201	373
171	2213	360
172	2228	347
173	2239	334
174	2247	321
175	2256	307
176	2266	294
177	2276	281
178	2285	268
179	2293	254
180	2304	241
181	2313	228
182	2324	215
183	2339	203
184	2350	190
185	2386	179
186	2396	166
187	2409	153
188	2422	140
189	2439	128
190	2454	115
191	2470	102
192	2491	90
193	2507	77
194	2519	64
195	2529	51
196	2541	38
197	2550	25
198	2558	12
199	2570	0
