Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,CV ROC-AUC
CatBoost,0.8791,0.7886,0.6805,0.7306,0.9319,0.8397,0.9266
LightGBM (Tuned),0.8778,0.7857,0.6779,0.7278,0.9296,0.8352,
XGBoost,0.8743,0.7717,0.6792,0.7225,0.927,0.8302,0.923
LightGBM,0.874,0.7746,0.6728,0.7201,0.9291,0.834,0.9255
XGBoost (Tuned),0.8748,0.7846,0.662,0.7181,0.9305,0.8377,
Hist Gradient Boosting,0.8731,0.7744,0.6677,0.7171,0.9281,0.8317,0.9244
CatBoost (Tuned),0.8738,0.7849,0.6562,0.7148,0.9314,0.8379,
Voting Classifier,0.8705,0.7671,0.6639,0.7118,0.923,0.8215,-
KNN,0.8526,0.7048,0.6684,0.6861,0.8839,0.7238,0.8823
Gradient Boosting,0.8654,0.7841,0.6091,0.6856,0.9233,0.8202,0.9201
Logistic Regression,0.86,0.7517,0.6256,0.6829,0.9159,0.7953,0.9134
Random Forest,0.8569,0.7368,0.632,0.6804,0.9081,0.7888,0.9029
Naive Bayes,0.8218,0.6089,0.7277,0.663,0.8899,0.7129,0.8872
AdaBoost,0.8533,0.7548,0.5791,0.6554,0.9069,0.78,0.9055
Extra Trees,0.8376,0.6778,0.6212,0.6483,0.8801,0.7104,0.873
Decision Tree,0.8125,0.6052,0.6384,0.6214,0.7531,0.4735,0.748
SVC,0.8061,0.7584,0.2864,0.4157,0.8714,0.6971,0.8759
