Feature,|SHAP|
marital.status_Married-civ-spouse,1.0677385246068412
age,0.7342073923244923
capital.gain,0.4818496379718412
education.num,0.45301549180543316
hours.per.week,0.2665465756679514
sex_Female,0.1426813684210405
capital.loss,0.11947814343465053
marital.status_Never-married,0.11255843343632273
occupation_Exec-managerial,0.10200025494563704
occupation_Other-service,0.0925596243719812
relationship_Own-child,0.08802299545201406
fnlwgt,0.062261656892049815
occupation_Machine-op-inspct,0.057351960805620335
edu_age_ratio,0.053827491117680794
relationship_Not-in-family,0.04938644710247859
capital_total,0.046988203930579404
relationship_Wife,0.0448413468143473
marital_grouped_Married,0.043873786541310814
occupation_Handlers-cleaners,0.03912778199071221
age_group_45-54,0.036759213162055
occupation_Farming-fishing,0.03648719131907149
region_Central America,0.034392227607264056
occupation_Adm-clerical,0.031672775915224986
race_Black,0.029910659087700867
occupation_Prof-specialty,0.0281987438287314
race_White,0.02531311435037035
workclass_Federal-gov,0.021883173229020333
occupation_Sales,0.021468672327734507
relationship_Other-relative,0.021037018642512607
workclass_Self-emp-not-inc,0.016898266698686097
occupation_Craft-repair,0.015293055654967023
relationship_Unmarried,0.013895578490829298
workclass_Self-emp-inc,0.011542278829985066
marital.status_Widowed,0.01145059685270048
hours_group_50-59,0.010789573433320243
occupation_Tech-support,0.010554137739034717
relationship_Husband,0.010018191783416591
occupation_Protective-serv,0.009102844493719764
workclass_Private,0.009012317333869849
region_South America,0.009008502423602871
workclass_Local-gov,0.007952759233395728
occupation_Priv-house-serv,0.007445415585675168
education_HS-grad,0.0073369959861249775
education_Some-college,0.006962807381804989
occupation_Transport-moving,0.006778983273452002
race_Other,0.005952352829894897
marital.status_Divorced,0.005404072369578765
sex_Male,0.005155388098273607
marital.status_Separated,0.004798715810739862
race_Asian-Pac-Islander,0.004353239008765536
workclass_State-gov,0.0042252368932489265
region_US/Canada,0.0039167397789813575
age_group_25-34,0.0038862108037452754
hours_group_40-49,0.0031343469017027473
hours_group_30-39,0.002936979582714981
education_7th-8th,0.0029163919742295065
race_Amer-Indian-Eskimo,0.002741427429249462
native.country_United-States,0.0025888554862307516
education_Prof-school,0.0024223838687718532
native.country_Canada,0.0023565968242459353
native.country_Cuba,0.002308535310434973
education_group_High School,0.002007998273183074
education_10th,0.0016260705065444935
education_Masters,0.0015722552495888813
native.country_Puerto-Rico,0.0015386988778630286
education_Bachelors,0.0015235333217724076
age_group_55-64,0.0014496583663611783
region_Europe,0.0014347279545561375
native.country_infrequent_sklearn,0.0013631379107110885
native.country_Mexico,0.0013189670976859196
age_group_35-44,0.0010434902509596305
native.country_Vietnam,0.0010280789983310153
native.country_Philippines,0.0009283485734534061
native.country_Dominican-Republic,0.0008897535304154374
native.country_China,0.0007634101871137474
education_11th,0.0007139951647081828
marital_grouped_Not-Married,0.0006774084622392096
region_Asia,0.0005925361313604852
education_group_Associate,0.0005534770090939625
native.country_Italy,0.0005385100672470653
region_Other,0.0005239834740652609
education_12th,0.00038629501890360935
native.country_England,0.0003697306520390627
native.country_India,0.0002745928688256906
hours_group_20-29,0.00018547912963558455
hours_group_60+,0.00018033926319650288
native.country_Jamaica,0.00016487796237323738
education_Assoc-voc,8.594254575320635e-05
education_Assoc-acdm,0.0
education_9th,0.0
occupation_Armed-Forces,0.0
education_5th-6th,0.0
education_1st-4th,0.0
capital.loss_log,0.0
workclass_Never-worked,0.0
capital.gain_log,0.0
has_capital,0.0
workclass_Without-pay,0.0
education_Doctorate,0.0
education_Preschool,0.0
marital.status_Married-spouse-absent,0.0
marital.status_Married-AF-spouse,0.0
native.country_Poland,0.0
native.country_El-Salvador,0.0
native.country_Columbia,0.0
native.country_Germany,0.0
native.country_Guatemala,0.0
native.country_South,0.0
age_group_65+,0.0
age_group_<25,0.0
education_group_Masters,0.0
education_group_Doctorate,0.0
hours_group_<20,0.0
education_group_Bachelors,0.0
education_group_College Prep,0.0
education_group_Basic,0.0
