Age,Income,Spending_Score
56,54081.6315796623,6
69,81987.54776364903,35
46,,38
32,82267.21011887878,35
60,60702.53339855474,74
25,37820.066135781526,94
38,24972.60086864287,53
56,29448.590123813476,38
36,46682.93183532152,93
40,56616.976485133586,59
28,86921.25953460902,43
28,75981.76424376477,4
41,43221.17495839395,5
53,68173.30566744336,68
57,93030.9253838448,45
41,97478.3484206007,80
20,53711.87976892807,25
39,79165.76859410004,78
19,87799.10733775648,11
41,29858.56153643226,29
61,49751.85825680607,34
47,104400.37468846526,86
55,53979.27779758192,14
19,1420.972705978049,24
38,57580.763792265556,59
50,82492.50998231723,39
29,60130.20873601792,26
39,74307.27893601268,43
61,78764.43995311463,36
42,52901.250971354355,39
66,49612.14027171248,61
44,63068.81951908543,16
59,63555.57845859762,59
45,61081.536396939424,96
33,61903.13045364928,6
32,45029.07730758524,98
64,75005.73820161897,56
68,71984.63894225933,8
61,33279.83266729084,94
69,52216.75365828066,27
20,61861.59745078893,71
54,49313.739954476514,27
68,72747.43955175587,89
24,58662.349230857246,46
38,63381.45058910374,41
26,51985.813850338534,79
56,20135.623531787707,25
35,18993.03356875101,86
21,71792.19093384055,18
42,65338.24152978788,12
31,68773.2441270217,87
67,62689.45684125826,51
26,64291.34806747029,39
43,79380.46747237576,89
19,68892.38744802825,10
37,80818.18700612226,94
45,63429.236824531945,74
64,53992.36518960458,98
24,63884.05724312492,77
61,43276.442370254066,54
25,52403.06142176182,29
64,63551.42617280074,41
52,63286.366638020234,9
31,57871.62239994023,63
34,,77
53,72728.19092841429,37
67,76684.56813199099,14
57,,73
21,68835.51993177462,72
19,60029.23668382966,39
23,39739.409807797005,40
59,89840.35738722111,54
21,64956.65953748047,3
46,63867.46347650913,55
35,54918.87603642296,33
43,53640.60867130276,96
61,73765.33468101693,71
51,39571.187546828165,19
27,92508.6371831756,34
53,88150.52915076744,78
31,52918.76906265821,50
48,42722.708682539145,47
65,19695.880232891715,46
32,34971.72255031546,56
25,74598.22985765748,57
31,66306.83717801308,83
40,69873.07130612175,51
57,23088.40729351677,54
38,52083.687597946715,90
33,87345.45612564165,81
62,58079.45189361293,28
35,34554.105307520294,19
64,57767.953383141976,27
41,44579.65163269501,48
43,66673.58119890794,19
42,60410.907577754304,97
62,70865.93328164582,51
58,35641.52746469775,7
46,51025.668626698025,29
32,81808.68682798218,43
62,32914.398911290366,69
18,39937.75967920043,94
42,63985.94619984128,58
24,65734.59678167582,8
26,50223.003145144605,42
41,54431.342347223,76
18,70664.51123111283,42
61,76992.70003519735,13
25,38615.56669420481,26
41,67286.390412559,18
28,90240.32000011444,42
68,57682.158772777344,51
34,38403.21692422962,84
25,37478.16182345567,16
52,56785.25117376272,3
52,80716.94609735237,91
50,59184.883003067574,79
22,63784.639598118556,98
59,40073.16635652392,45
56,79662.35265953095,22
58,,23
45,49910.07031456734,59
24,72598.29724092588,62
26,19211.370033601357,68
25,63479.22299371416,54
29,39218.52867216438,57
51,60330.98797818227,23
50,52958.887845761274,60
65,102116.69650696978,73
40,52137.57621600187,88
41,96853.02745766685,85
54,71739.04582366749,55
52,43970.82058540543,80
61,66616.21850519514,63
57,53911.80507324376,56
39,64843.149814824676,55
44,45722.18025133467,25
52,93803.55266691916,26
18,78507.96181593448,49
52,60635.63136323182,63
54,94582.29536139069,45
64,61485.58488165697,73
31,81952.49929722329,79
20,60766.01175044849,39
18,67877.75189621157,97
22,,65
43,61906.02707747874,69
31,63410.63720775998,56
56,46605.36335023213,9
44,51978.62666153824,70
26,55664.899670276565,28
32,64594.22033604593,45
32,59388.41960993066,26
43,83460.65067651414,28
59,76942.36637959282,40
30,56073.44887949255,15
68,87635.67794903879,6
49,,27
56,,38
66,78645.80170132559,68
69,46140.31605337002,75
49,76014.96042646599,85
21,84764.75881292863,64
47,42460.14810978896,30
54,22953.45801968479,82
40,76708.6817643173,207
56,62708.049649672226,3
62,26631.22492194744,62
32,110591.29010925644,12
60,72488.38824513103,91
46,73402.00080250305,30
53,,85
30,48383.52094306996,38
49,62609.08224177353,85
24,33613.561724404746,60
68,47841.03105429631,38
39,67713.20000938476,15
45,26694.306657350957,18
19,47274.20908643838,52
59,41441.32080124559,29
62,62841.8449124069,60
23,71494.02523330698,21
45,74843.05608752914,17
45,79976.33289556301,18
61,87442.33693144741,57
61,72144.90907366812,37
37,97746.7179778883,60
47,62390.05042529364,38
28,56533.57691498905,12
45,72146.1472672008,75
42,55671.776500148226,84
56,97051.294575501,73
50,82619.66946270425,1
18,75005.5628839903,58
44,62628.38688082702,3
69,51850.45657170274,63
30,,21
58,37458.05096306082,23
20,90687.27066882042,9
56,56447.26589229253,83
23,66102.13466481458,55
25,41807.97847613422,19
44,74459.72526238443,62
26,50925.167743233425,87
54,72984.57580610196,91
50,75147.86937954779,91
68,47047.357728229195,39
59,37529.4175817201,76
61,90637.9983308909,27
41,56154.01931941836,46
32,64496.97632091276,34
49,69709.29049293484,33
49,34925.99740203559,92
41,69253.32273639775,95
58,61982.53072309274,96
69,47129.38604591218,50
66,36869.28030324541,20
66,72117.71095914539,40
69,82554.24016389759,99
29,63571.81034785606,95
56,31310.69316300626,58
19,38853.3436565054,31
20,51357.52581351893,38
66,91292.394823215,86
54,55064.98675802249,45
66,50628.621544036,41
34,26530.3040064777,9
66,46866.30419779778,9
19,35341.27292018339,63
19,39936.403381544005,79
45,62399.01360317485,77
40,51976.71588777645,22
54,93989.88905342692,16
49,81560.06745414954,32
50,47822.32124379322,66
18,41663.6431651897,90
36,87652.83871328385,14
19,93200.84978966966,38
61,16115.03512908936,98
43,61857.15247943403,8
49,54962.43384206545,21
23,72982.40280119874,56
49,98853.36248323007,46
21,50318.85961344403,43
28,18786.029706721718,92
34,71580.15400298528,46
55,87799.28137208405,48
41,53924.804369604506,70
22,45899.25039720678,84
69,51254.811892446014,31
51,77004.1073426247,33
23,50910.78117430039,44
39,66575.20600685691,71
28,60556.0583147988,8
65,58492.40775154468,73
33,74025.84653504466,2
50,50428.40200271612,17
